event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Switzerland_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
25854,3942227,1,1,17,00:01:17.733,Ball Receipt*,Phil Foden,England,England,42.4,69.1,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 18, 'name': 'Right Attacking Midfield'}",,0,0,0,2,2,0,4,2,0,0,Pass,Kyle Walker,England,1.0,16.0,Carry,Phil Foden,England,True,77.6,False,False,False
25855,3942227,1,1,17,00:01:17.733,Carry,Phil Foden,England,England,42.4,69.1,,0.599597,From Throw In,,,,,,,,,,,,False,42.8,69.1,0.3999999999999986,,False,,"{'id': 18, 'name': 'Right Attacking Midfield'}",,0,0,0,2,2,0,4,2,0,0,Ball Receipt*,Phil Foden,England,1.0,17.0,Pass,Phil Foden,England,True,77.6,False,False,False
25856,3942227,1,1,18,00:01:18.333,Pass,Phil Foden,England,England,42.8,69.1,,2.038487,From Throw In,Kobbie Mainoo,23.216589,Ground Pass,Incomplete,-1.130266,52.7,48.1,,,,,False,,,,,False,,"{'id': 18, 'name': 'Right Attacking Midfield'}",,0,0,0,2,2,0,4,2,0,0,Carry,Phil Foden,England,1.0,17.0,Ball Receipt*,Kobbie Mainoo,England,True,77.2,False,False,False
25857,3942227,1,1,20,00:01:20.371,Ball Receipt*,Kobbie Mainoo,England,England,48.3,52.5,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,2,2,0,4,2,0,0,Pass,Phil Foden,England,1.0,18.0,Ball Recovery,Granit Xhaka,Switzerland,False,71.7,False,False,False
25858,3942227,1,1,20,00:01:20.371,Ball Recovery,Granit Xhaka,Switzerland,Switzerland,67.4,32.0,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,2,2,0,7,3,0,0,Ball Receipt*,Kobbie Mainoo,England,1.0,20.0,Carry,Granit Xhaka,Switzerland,True,52.599999999999994,False,False,False
25859,3942227,1,1,20,00:01:20.371,Carry,Granit Xhaka,Switzerland,Switzerland,67.4,32.0,,0.472831,Regular Play,,,,,,,,,,,,False,68.0,35.5,3.5510561809129397,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,2,2,0,7,3,0,0,Ball Recovery,Granit Xhaka,Switzerland,1.0,20.0,Pass,Granit Xhaka,Switzerland,True,52.599999999999994,False,False,False
25860,3942227,1,1,20,00:01:20.844,Pass,Granit Xhaka,Switzerland,Switzerland,68.0,35.5,,1.632955,Regular Play,Fabian Lukas Schär,15.533191,Ground Pass,,2.9340963,52.8,38.7,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,2,2,0,7,3,0,0,Carry,Granit Xhaka,Switzerland,1.0,20.0,Ball Receipt*,Fabian Lukas Schär,Switzerland,True,52.0,False,False,False
25861,3942227,1,1,22,00:01:22.477,Ball Receipt*,Fabian Lukas Schär,Switzerland,Switzerland,52.8,38.7,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,2,0,7,3,0,0,Pass,Granit Xhaka,Switzerland,1.0,20.0,Carry,Fabian Lukas Schär,Switzerland,True,67.2,False,False,False
25862,3942227,1,1,22,00:01:22.477,Carry,Fabian Lukas Schär,Switzerland,Switzerland,52.8,38.7,,1.070487,Regular Play,,,,,,,,,,,,False,49.0,38.9,3.8052595180880866,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,2,0,7,3,0,0,Ball Receipt*,Fabian Lukas Schär,Switzerland,1.0,22.0,Pass,Fabian Lukas Schär,Switzerland,True,67.2,False,False,False
25863,3942227,1,1,23,00:01:23.548,Pass,Fabian Lukas Schär,Switzerland,Switzerland,49.0,38.9,,1.037275,Regular Play,Granit Xhaka,5.658622,Ground Pass,,0.7604034,53.1,42.8,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,2,0,7,3,0,0,Carry,Fabian Lukas Schär,Switzerland,1.0,22.0,Ball Receipt*,Granit Xhaka,Switzerland,True,71.0,False,False,False
25864,3942227,1,1,24,00:01:24.585,Ball Receipt*,Granit Xhaka,Switzerland,Switzerland,53.1,42.8,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,2,2,0,7,3,0,0,Pass,Fabian Lukas Schär,Switzerland,1.0,23.0,Carry,Granit Xhaka,Switzerland,True,66.9,False,False,False
25865,3942227,1,1,24,00:01:24.585,Carry,Granit Xhaka,Switzerland,Switzerland,53.1,42.8,,0.732345,Regular Play,,,,,,,,,,,,False,53.7,44.2,1.5231546211727873,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,2,2,0,7,3,0,0,Ball Receipt*,Granit Xhaka,Switzerland,1.0,24.0,Pass,Granit Xhaka,Switzerland,True,66.9,False,False,False
25866,3942227,1,1,25,00:01:25.317,Pass,Granit Xhaka,Switzerland,Switzerland,53.7,44.2,,1.017584,Regular Play,Manuel Obafemi Akanji,23.722775,Low Pass,,-2.130736,41.1,24.1,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,2,2,0,7,3,0,0,Carry,Granit Xhaka,Switzerland,1.0,24.0,Ball Receipt*,Manuel Obafemi Akanji,Switzerland,True,66.3,False,False,False
25867,3942227,1,1,26,00:01:26.335,Ball Receipt*,Manuel Obafemi Akanji,Switzerland,Switzerland,41.1,24.1,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,2,2,0,7,3,0,0,Pass,Granit Xhaka,Switzerland,1.0,25.0,Carry,Manuel Obafemi Akanji,Switzerland,True,78.9,False,False,False
25868,3942227,1,1,26,00:01:26.335,Carry,Manuel Obafemi Akanji,Switzerland,Switzerland,41.1,24.1,,1.246637,Regular Play,,,,,,,,,,,,False,35.4,24.3,5.703507692639682,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,2,2,0,7,3,0,0,Ball Receipt*,Manuel Obafemi Akanji,Switzerland,1.0,26.0,Pass,Manuel Obafemi Akanji,Switzerland,True,78.9,False,False,False
