event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Slovakia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
60506,3941017,1,0,47,00:00:47.889,Pass,Marc Guehi,England,England,16.3,20.2,,1.654623,From Throw In,Jordan Pickford,17.45222,Ground Pass,,2.437317,3.0,31.5,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,2,0,2,1,0,0,Carry,Marc Guehi,England,0.0,47.0,Ball Receipt*,Jordan Pickford,England,True,103.7,False,False,False
60507,3941017,1,0,49,00:00:49.544,Ball Receipt*,Jordan Pickford,England,England,3.0,31.5,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,2,0,2,1,0,0,Pass,Marc Guehi,England,0.0,47.0,Carry,Jordan Pickford,England,True,117.0,False,False,False
60508,3941017,1,0,49,00:00:49.544,Carry,Jordan Pickford,England,England,3.0,31.5,,9.99155,From Throw In,,,,,,,,,,,,False,9.5,38.3,9.406912352095132,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,2,0,2,1,0,0,Ball Receipt*,Jordan Pickford,England,0.0,49.0,Pass,Jordan Pickford,England,True,117.0,False,False,False
60509,3941017,1,0,59,00:00:59.535,Pass,Jordan Pickford,England,England,9.5,38.3,,3.120913,From Throw In,Harry Kane,55.80627,High Pass,Incomplete,0.13480139,64.8,45.8,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,2,0,2,1,0,0,Carry,Jordan Pickford,England,0.0,49.0,Ball Receipt*,Harry Kane,England,True,110.5,False,False,False
60510,3941017,1,1,2,00:01:02.656,Ball Receipt*,Harry Kane,England,England,63.3,45.9,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,2,0,2,1,1,0,Pass,Jordan Pickford,England,0.0,59.0,Block,Denis Vavro,Slovakia,False,56.7,False,False,False
60511,3941017,1,1,2,00:01:02.656,Block,Denis Vavro,Slovakia,England,55.3,34.3,,0.0,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,1,3,3,0,0,Ball Receipt*,Harry Kane,England,1.0,2.0,Pressure,Stanislav Lobotka,Slovakia,True,64.7,False,False,False
60512,3941017,1,1,3,00:01:03.611,Pressure,Stanislav Lobotka,Slovakia,England,58.1,33.2,,0.436343,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,1,1,1,3,3,0,0,Block,Denis Vavro,Slovakia,1.0,2.0,Ball Recovery,Harry Kane,England,False,61.9,False,False,False
60513,3941017,1,1,3,00:01:03.950,Ball Recovery,Harry Kane,England,England,62.2,45.4,True,0.0,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,2,0,2,1,1,0,Pressure,Stanislav Lobotka,Slovakia,1.0,3.0,Carry,Harry Kane,England,True,57.8,False,False,True
60514,3941017,1,1,3,00:01:03.950,Carry,Harry Kane,England,England,62.2,45.4,True,0.640467,From Throw In,,,,,,,,,,,,False,62.2,44.0,1.3999999999999986,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,2,0,2,1,1,0,Ball Recovery,Harry Kane,England,1.0,3.0,Dispossessed,Harry Kane,England,True,57.8,False,False,False
60515,3941017,1,1,4,00:01:04.590,Dispossessed,Harry Kane,England,England,62.2,44.0,True,0.0,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,2,0,2,1,1,0,Carry,Harry Kane,England,1.0,3.0,Duel,Stanislav Lobotka,Slovakia,False,57.8,False,False,False
