event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Slovenia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
141267,3930181,1,0,45,00:00:45.314,Pass,Jordan Pickford,England,England,14.2,46.2,,0.953933,From Kick Off,John Stones,17.353962,Ground Pass,,1.091686,22.2,61.6,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,1,0,2,1,0,0,Carry,Jordan Pickford,England,0.0,44.0,Ball Receipt*,John Stones,England,True,105.8,False,False,False
141268,3930181,1,0,46,00:00:46.268,Ball Receipt*,John Stones,England,England,22.2,61.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,0,2,1,0,0,Pass,Jordan Pickford,England,0.0,45.0,Carry,John Stones,England,True,97.8,False,False,False
141269,3930181,1,0,46,00:00:46.268,Carry,John Stones,England,England,22.2,61.6,True,1.448618,From Kick Off,,,,,,,,,,,,False,23.3,59.9,2.0248456731316615,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,John Stones,England,0.0,46.0,Pressure,Benjamin Šeško,Slovenia,False,97.8,False,False,False
141270,3930181,1,0,46,00:00:46.990,Pressure,Benjamin Šeško,Slovenia,England,94.4,23.2,,0.854748,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 24, 'name': 'Left Center Forward'}",,0,0,0,0,2,0,2,2,0,0,Carry,John Stones,England,0.0,46.0,Pass,John Stones,England,False,25.599999999999994,False,False,False
141271,3930181,1,0,47,00:00:47.716,Pass,John Stones,England,England,23.3,59.9,True,1.79203,From Kick Off,Jordan Pickford,23.201939,Ground Pass,,-1.9785178,14.1,38.6,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,0,2,1,0,0,Pressure,Benjamin Šeško,Slovenia,0.0,46.0,Ball Receipt*,Jordan Pickford,England,True,96.7,False,False,True
141272,3930181,1,0,49,00:00:49.509,Ball Receipt*,Jordan Pickford,England,England,14.1,38.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,1,0,2,1,0,0,Pass,John Stones,England,0.0,47.0,Carry,Jordan Pickford,England,True,105.9,False,False,False
141273,3930181,1,0,49,00:00:49.509,Carry,Jordan Pickford,England,England,14.1,38.6,,2.342916,From Kick Off,,,,,,,,,,,,False,22.8,33.1,10.29271587094485,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,Jordan Pickford,England,0.0,49.0,Pass,Jordan Pickford,England,True,105.9,False,False,False
141274,3930181,1,0,51,00:00:51.851,Pass,Jordan Pickford,England,England,22.8,33.1,,1.158942,From Kick Off,Marc Guehi,13.409325,Ground Pass,,-1.5335002,23.3,19.7,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,1,0,2,1,0,0,Carry,Jordan Pickford,England,0.0,49.0,Ball Receipt*,Marc Guehi,England,True,97.2,False,False,False
141275,3930181,1,0,53,00:00:53.010,Ball Receipt*,Marc Guehi,England,England,23.3,19.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,0,2,1,0,0,Pass,Jordan Pickford,England,0.0,51.0,Carry,Marc Guehi,England,True,96.7,False,False,False
141276,3930181,1,0,53,00:00:53.010,Carry,Marc Guehi,England,England,23.3,19.7,,2.732474,From Kick Off,,,,,,,,,,,,False,27.2,17.0,4.743416490252567,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,Marc Guehi,England,0.0,53.0,Pass,Marc Guehi,England,True,96.7,False,False,False
