match_id,home_team,away_team,match_date,stage,period,period_name,minute,second,team,player,card_type,event_type,event_uuid
3941018,Spain,Georgia,2024-06-30,Round of 16,2,Period 2,70,10,"{'id': 2138, 'name': 'Georgia'}","{'id': 44183, 'name': 'Zuriko Davitashvili'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",
3941017,England,Slovakia,2024-06-30,Round of 16,1,Period 1,2,50,"{'id': 768, 'name': 'England'}","{'id': 34526, 'name': 'Marc Guehi'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",64a94f68-8a81-484c-b83a-3569cd5d1bc3
3941017,England,Slovakia,2024-06-30,Round of 16,1,Period 1,6,7,"{'id': 768, 'name': 'England'}","{'id': 99174, 'name': 'Kobbie Mainoo'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",9a007354-c99e-4b06-a147-f9bbdd9b2e23
3941017,England,Slovakia,2024-06-30,Round of 16,1,Period 1,12,31,"{'id': 908, 'name': 'Slovakia'}","{'id': 10919, 'name': 'Juraj Kucka'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",c60ab716-6dd1-4650-805b-408761ef7dfa
3941017,England,Slovakia,2024-06-30,Round of 16,1,Period 1,16,5,"{'id': 768, 'name': 'England'}","{'id': 30714, 'name': 'Jude Bellingham'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",8cd58973-9cef-4e82-95c3-7eaa576dbabd
3941017,England,Slovakia,2024-06-30,Round of 16,1,Period 1,45,11,"{'id': 908, 'name': 'Slovakia'}","{'id': 6990, 'name': 'Milan Škriniar'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",937e7804-27d1-43c1-966a-d3939f2d36f2
3941017,England,Slovakia,2024-06-30,Round of 16,2,Period 2,76,32,"{'id': 908, 'name': 'Slovakia'}","{'id': 9722, 'name': 'Peter Pekarík'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",
3941017,England,Slovakia,2024-06-30,Round of 16,4,Period 4 (Extra Time 2nd Half),107,46,"{'id': 908, 'name': 'Slovakia'}","{'id': 16298, 'name': 'Denis Vavro'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",
3941017,England,Slovakia,2024-06-30,Round of 16,4,Period 4 (Extra Time 2nd Half),113,51,"{'id': 908, 'name': 'Slovakia'}","{'id': 20043, 'name': 'Norbert Gyömbér'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3941017,England,Slovakia,2024-06-30,Round of 16,4,Period 4 (Extra Time 2nd Half),121,12,"{'id': 908, 'name': 'Slovakia'}","{'id': 35653, 'name': 'Tomáš Suslov'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930182,Denmark,Serbia,2024-06-25,Group Stage,1,Period 1,3,19,"{'id': 786, 'name': 'Serbia'}","{'id': 5603, 'name': 'Nikola Milenković'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",9504bda2-802e-4538-89ee-5813588e420e
3930182,Denmark,Serbia,2024-06-25,Group Stage,1,Period 1,26,45,"{'id': 776, 'name': 'Denmark'}","{'id': 21261, 'name': 'Jonas Older Wind'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",07714abe-4c7c-40cd-b132-1f36ad0d03aa
3930182,Denmark,Serbia,2024-06-25,Group Stage,1,Period 1,29,37,"{'id': 776, 'name': 'Denmark'}","{'id': 8621, 'name': 'Morten Hjulmand'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",
3930182,Denmark,Serbia,2024-06-25,Group Stage,2,Period 2,82,46,"{'id': 786, 'name': 'Serbia'}","{'id': 4269, 'name': 'Aleksandar Mitrović'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930179,Albania,Spain,2024-06-24,Group Stage,2,Period 2,65,32,"{'id': 906, 'name': 'Albania'}","{'id': 32030, 'name': 'Nedim Bajrami'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",c39a5cd3-c9bc-4f5f-a93f-96b17dfa4786
