match_id,team,opponent,stage,period,avg_consecutive_events,max_consecutive_events,total_possessions,turnovers,turnover_rate,match_date
3930160,Spain,Croatia,Group Stage,2,11.404761904761905,79,84,33,0.39285714285714285,2024-06-15
3930160,Croatia,Spain,Group Stage,2,11.941176470588236,104,85,34,0.4,2024-06-15
3930159,Hungary,Switzerland,Group Stage,1,9.642857142857142,60,70,25,0.35714285714285715,2024-06-15
3930159,Switzerland,Hungary,Group Stage,1,13.816901408450704,68,71,24,0.3380281690140845,2024-06-15
3930159,Hungary,Switzerland,Group Stage,2,12.08974358974359,60,78,23,0.2948717948717949,2024-06-15
3930159,Switzerland,Hungary,Group Stage,2,10.093333333333334,68,75,24,0.32,2024-06-15
3930158,Germany,Scotland,Group Stage,1,18.508196721311474,98,61,21,0.3442622950819672,2024-06-14
3930158,Scotland,Germany,Group Stage,1,9.328125,43,64,20,0.3125,2024-06-14
3930158,Germany,Scotland,Group Stage,2,19.387096774193548,123,62,25,0.4032258064516129,2024-06-14
3930158,Scotland,Germany,Group Stage,2,6.357142857142857,39,70,25,0.35714285714285715,2024-06-14
